,text,favourite_count,retweet_count,created_at
103,"RT @CoagCyl: 8M🟣. Feliz día de la #mujer #rural. Imprescindible para nuestro sector.
COAG Castilla y León junto con la mujer rural
#COAGInf…",0,1,2022-03-08 16:12:29
104,"La historia de muchas mujeres... 
Sigamos luchando por derechos, justicia, libertad... Cada quién desde su trinchera, puede sumar.
https://t.co/Shw307oM99
También lo puedes escuchar a través de Spotify
https://t.co/hqDE2Ouvp4
#DíaInternacionalDeLaMujer  #8M #Mujer #Basta #Lucha",1,1,2022-03-08 16:12:07
105,RT @vifac_monterrey: En el día de la mujer celebramos las historias de las mujeres embarazadas valientes que han salido adelante enfrentand…,0,5,2022-03-08 16:12:07
106,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,143,2022-03-08 16:12:07
107,"RT @CiceroComunica: 🤔¿Sabrías mencionar alguna #mujer que marcó la historia de la #ciencia? 🔬 En el #DíaInternacionalDeLaMujer 💜, descifram…",0,2,2022-03-08 16:11:57
108,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,143,2022-03-08 16:11:54
109,"En la actualidad se podría decir que el acceso de las mujeres a la profesión aún no ha finalizado, y quedan aún camino por recorrer. 
https://t.co/GdTFPM0GPD
 
#8M #8marzo #Mujer #DiaDeLaMujer #MujerTrabajadora #Contable #Asesora #Contabilidad #lamujerenlahistoria #SanxaXimenis",0,0,2022-03-08 16:11:49
110,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,143,2022-03-08 16:11:48
111,RT @CNE_Chile: En @CNE_Chile creemos que para avanzar en #equidaddegenero es necesario que quienes trabajan en la organización adquieran co…,0,2,2022-03-08 16:11:42
112,"👩🏼‍🦰👩🏼‍¡Feliz día a todas las mujeres del mundo! 👩🏼‍🦳👩🏾

Es un día para luchar por la igualdad, la participación y el empoderamiento de la mujer en todos los ámbitos de la sociedad.

Arroba a esa mujer que es parte de tu vida y deséale un muy feliz día🤩

#diadelamujer #mujer #8m https://t.co/A3Mr1uYMCu",0,0,2022-03-08 16:11:38
113,"Fuertes, poderosas y creativas... ¡Las reconocemos! 💪💜
💜 Son una parte indispensable en el #TeamKonex 💜
.
.
.
#DiaDelaMujer #DiaInternacionalDeLaMujer #8Marzo #8m #Mujer #Mujeres #EmpoderamientoFemenino #Puebla #Hoy #Martes https://t.co/xbolp8z4df",0,0,2022-03-08 16:11:33
114,"RT @LizSanchezSM: En este día reconozco a cada #mujer q desde su trinchera lucha:por ser una misma en toda la extensión de la palabra, por…",0,1,2022-03-08 16:11:17
115,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,143,2022-03-08 16:11:14
116,RT @AnamarOrihuela: ¿Para ti qué es ser #Mujer? #DiaInternacionalDeLaMujer #8m #8marzo (Video completó en #Facebook e #Instagram) https://t…,0,1,2022-03-08 16:10:51
117,"RT @FrasesNorfiPC: Gracias #Mujer por dejarme poder contar contigo.
¡Feliz #DiaDeLaMujer! #8M #DiaInternacionalDeLaMujer
https://t.co/mUT39…",0,4,2022-03-08 16:10:49
